trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
219,False,"{'a': 0.5, 'e': 0.11068980359934164}",30,12,18.191896502950893,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.10958290556334822}",35,13,-28.962886551754757,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
221,False,"{'a': 0.5, 'e': 0.10848707650771475}",20,5,14.174320518653193,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.1074022057426376}",20,10,-22.620539005845117,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
223,False,"{'a': 0.5, 'e': 0.10632818368521123}",25,9,12.410885132683356,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.10526490184835911}",20,0,-31.564498013291253,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
225,False,"{'a': 0.5, 'e': 0.10421225282987552}",20,3,-14.428516123023583,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
226,False,"{'a': 0.5, 'e': 0.10317013030157676}",25,12,20.119780291494585,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.10213842899856099}",20,16,7.947595976892103,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.10111704470857538}",20,7,16.859410837055922,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.10010587426148963}",25,12,20.992099075931037,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.09910481551887473}",20,6,26.0996897186603,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09811376736368599}",30,20,-24.565340467862313,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
232,False,"{'a': 0.5, 'e': 0.09713262969004913}",25,19,13.492416434675153,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09616130339314863}",25,0,-4.655261238589815,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
234,False,"{'a': 0.5, 'e': 0.09519969035921715}",25,11,-31.44700588698086,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
235,False,"{'a': 0.5, 'e': 0.09424769345562498}",30,8,-66.82598379256513,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
236,False,"{'a': 0.5, 'e': 0.09330521652106873}",25,9,29.99935954644609,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09237216435585804}",30,16,14.821221863945874,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09144844271229946}",20,5,-1.0783721819093401,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.09053395828517646}",20,0,20.254658325204947,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
